No. Moves,FirstMove,ProbCaptureFirst30,WhiteElo,BlackElo,TimeControl,Result,Fen,Eval5,Eval12
16,g3,0.1724137931034483,1500,1315,60+0,1-0,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,-50,+113
32,e4,0.20689655172413793,1538,1330,600+0,1-0,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-32,+120
47,e4,0.20689655172413793,1797,2073,300+0,0-1,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-62,+43
23,e4,0.27586206896551724,1671,1688,60+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/6P1/PPPP1PBP/RNBQK1NR b KQkq - 2 3,-7,+49
36,d4,0.20689655172413793,1591,1763,180+0,0-1,rnbqkb1r/p1pppppp/1p3n2/8/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-19,+20
41,g3,0.06896551724137931,1861,1868,60+0,0-1,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/6P1/PPPP1PBP/RNBQK1NR b KQkq - 0 3,-15,-26
30,d4,0.20689655172413793,1808,1808,60+0,1-0,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-24,+22
35,e4,0.2413793103448276,2036,2065,60+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/1P2P3/P7/2PP1PPP/RNBQKBNR b KQkq - 0 3,+34,+99
29,d4,0.13793103448275862,1666,1668,60+0,1-0,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,-8,+50
47,d4,0.2413793103448276,1633,1586,600+0,1/2-1/2,r1bqkbnr/ppp1pppp/2n5/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-54,+52
38,e4,0.06896551724137931,1895,2015,180+0,1-0,r1bqkbnr/pp1ppppp/2n5/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-30,+69
59,e4,0.20689655172413793,1779,1717,180+0,1-0,rnbqkbnr/ppp2ppp/4p3/3P4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 3,-1,+6
48,d4,0.13793103448275862,1792,1726,300+0,0-1,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-35,+47
22,d4,0.1724137931034483,1617,1423,120+1,1-0,rnbqkbnr/1pppppp1/p6p/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-36,+120
42,d4,0.2413793103448276,2032,2014,60+0,1-0,rnbqkbnr/pp1ppppp/8/8/3p4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,+43,+14
41,d4,0.2413793103448276,1928,1933,60+0,1-0,rnbqkbnr/ppp2ppp/4p3/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq - 1 3,-14,-39
25,e4,0.1724137931034483,1335,1298,300+0,0-1,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,-32,-285
53,e4,0.3103448275862069,2213,2032,60+0,1-0,rnb1kbnr/ppp1pppp/8/3q4/8/3B4/PPPP1PPP/RNBQK1NR b KQkq - 1 3,+175,-44
46,e4,0.1724137931034483,1746,1539,300+0,0-1,rnbqkbnr/pp2pppp/2p5/3p4/4P3/P1N5/1PPP1PPP/R1BQKBNR b KQkq - 0 3,+16,-40
19,e4,0.20689655172413793,1830,1483,180+3,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq - 2 3,-2,+511
46,e4,0.3103448275862069,1872,1690,180+0,0-1,rnbqkb1r/pppppppp/8/3nP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,-71,+97
20,d4,0.13793103448275862,1412,1668,60+0,0-1,r1bqkbnr/pp1ppppp/2n5/2P5/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-48,+108
33,e4,0.1724137931034483,1337,1304,420+0,1-0,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,-19,+35
32,e4,0.20689655172413793,1544,1523,600+8,0-1,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-16,+12
40,e4,0.2413793103448276,1667,1691,180+0,0-1,rnbqkbnr/ppp2ppp/8/3pP3/4P3/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,+487,-524
26,e4,0.27586206896551724,1325,1696,120+0,0-1,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 3,-24,+186
39,d4,0.20689655172413793,1459,1352,420+0,0-1,rnbqk1nr/pppp1ppp/4p3/8/1b1PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,-90,+190
